feature,seq,actor,action,expected,actual,pass,note
"進度","1","62010001","更新進度 0003 → 59% (一座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","2","62010002","更新進度 0003 → 72% (一座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","3","62010003","更新進度 0004 → 72% (一座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","4","62010004","更新進度 0004 → 85% (一座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","5","62010003","更新進度 0007 → 41% (一座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","6","62010001","更新進度 0008 → 54% (一座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","7","62000001","PM 加中項 (一座)","allow","allow (http 201) 1 row","true",""
"進度","8","62010003","判頭加大項 (一座)","deny","deny (http 403) new row violates row-level security policy for table ""progress_items""","true","非 manager"
"進度","9","62010004","工人改未派 leaf (一座)","deny","deny (http 200) 0 row","true",""
"進度","10","62020001","更新進度 0011 → 23% (二座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","11","62020002","更新進度 0011 → 36% (二座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","12","62020003","更新進度 0012 → 36% (二座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","13","62020004","更新進度 0012 → 49% (二座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","14","62020003","更新進度 0015 → 75% (二座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","15","62020001","更新進度 0016 → 88% (二座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","16","62000001","PM 加中項 (二座)","allow","allow (http 201) 1 row","true",""
"進度","17","62020003","判頭加大項 (二座)","deny","deny (http 403) new row violates row-level security policy for table ""progress_items""","true","非 manager"
"進度","18","62020004","工人改未派 leaf (二座)","deny","deny (http 200) 0 row","true",""
"進度","19","62030001","更新進度 0019 → 57% (三座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","20","62030002","更新進度 0019 → 70% (三座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","21","62030003","更新進度 0020 → 70% (三座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","22","62030004","更新進度 0020 → 83% (三座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","23","62030003","更新進度 0023 → 39% (三座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","24","62030001","更新進度 0024 → 52% (三座)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","25","62000001","PM 加中項 (三座)","allow","allow (http 201) 1 row","true",""
"進度","26","62030003","判頭加大項 (三座)","deny","deny (http 403) new row violates row-level security policy for table ""progress_items""","true","非 manager"
"進度","27","62030004","工人改未派 leaf (三座)","deny","deny (http 200) 0 row","true",""
"進度","28","62040001","更新進度 0027 → 21% (外圍)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","29","62040002","更新進度 0027 → 34% (外圍)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","30","62040003","更新進度 0028 → 34% (外圍)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","31","62040004","更新進度 0028 → 47% (外圍)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","32","62040003","更新進度 0031 → 73% (外圍)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","33","62040001","更新進度 0032 → 86% (外圍)","allow","allow (http 200) 1 row","true","被派 leaf"
"進度","34","62000001","PM 加中項 (外圍)","allow","allow (http 201) 1 row","true",""
"進度","35","62040003","判頭加大項 (外圍)","deny","deny (http 403) new row violates row-level security policy for table ""progress_items""","true","非 manager"
"進度","36","62040004","工人改未派 leaf (外圍)","deny","deny (http 200) 0 row","true",""
"問題","1","62010004","工人報問題 (一座)","allow","allow (http 201) 1 row","true",""
"問題","2","62010004","工人報問題 (一座)","allow","allow (http 201) 1 row","true",""
"問題","3","62010004","工人即時問題 snag (一座)","allow","allow (http 201) 1 row","true",""
"問題","4","62010003","判頭報問題 (一座)","allow","allow (http 201) 1 row","true",""
"問題","5","62020004","工人報問題 (二座)","allow","allow (http 201) 1 row","true",""
"問題","6","62020004","工人報問題 (二座)","allow","allow (http 201) 1 row","true",""
"問題","7","62020004","工人即時問題 snag (二座)","allow","allow (http 201) 1 row","true",""
"問題","8","62020003","判頭報問題 (二座)","allow","allow (http 201) 1 row","true",""
"問題","9","62030004","工人報問題 (三座)","allow","allow (http 201) 1 row","true",""
"問題","10","62030004","工人報問題 (三座)","allow","allow (http 201) 1 row","true",""
"問題","11","62030004","工人即時問題 snag (三座)","allow","allow (http 201) 1 row","true",""
"問題","12","62030003","判頭報問題 (三座)","allow","allow (http 201) 1 row","true",""
"問題","13","62040004","工人報問題 (外圍)","allow","allow (http 201) 1 row","true",""
"問題","14","62040004","工人報問題 (外圍)","allow","allow (http 201) 1 row","true",""
"問題","15","62040004","工人即時問題 snag (外圍)","allow","allow (http 201) 1 row","true",""
"問題","16","62040003","判頭報問題 (外圍)","allow","allow (http 201) 1 row","true",""
"問題","17","62010003","判頭升級問題→總承 (一座)","allow","allow (http 200) 1 row","true",""
"問題","18","62010003","判頭留言","allow","allow (http 201) 1 row","true",""
"問題","19","62010003","判頭升級問題→總承 (一座)","allow","allow (http 200) 1 row","true",""
"問題","20","62010003","判頭留言","allow","allow (http 201) 1 row","true",""
"問題","21","62020003","判頭升級問題→總承 (二座)","allow","allow (http 200) 1 row","true",""
"問題","22","62020003","判頭留言","allow","allow (http 201) 1 row","true",""
"問題","23","62020003","判頭升級問題→總承 (二座)","allow","allow (http 200) 1 row","true",""
"問題","24","62020003","判頭留言","allow","allow (http 201) 1 row","true",""
"問題","25","62030003","判頭升級問題→總承 (三座)","allow","allow (http 200) 1 row","true",""
"問題","26","62030003","判頭留言","allow","allow (http 201) 1 row","true",""
"問題","27","62030003","判頭升級問題→總承 (三座)","allow","allow (http 200) 1 row","true",""
"問題","28","62030003","判頭留言","allow","allow (http 201) 1 row","true",""
"問題","29","62040003","判頭升級問題→總承 (外圍)","allow","allow (http 200) 1 row","true",""
"問題","30","62040003","判頭留言","allow","allow (http 201) 1 row","true",""
"問題","31","62040003","判頭升級問題→總承 (外圍)","allow","allow (http 200) 1 row","true",""
"問題","32","62040003","判頭留言","allow","allow (http 201) 1 row","true",""
"問題","33","62010001","總承解決問題 (一座)","allow","allow (http 200) 1 row","true",""
"問題","34","62020001","總承解決問題 (二座)","allow","allow (http 200) 1 row","true",""
"問題","35","62030001","總承解決問題 (三座)","allow","allow (http 200) 1 row","true",""
"問題","36","62040001","總承解決問題 (外圍)","allow","allow (http 200) 1 row","true",""
"問題","37","62020004","工人改非自己問題","deny","deny (http 200) 0 row","true",""
"問題","38","62000004","安全主任改任何問題 (v66)","allow","allow (http 200) 1 row","true",""
"工地指令","1","62010003","開單 SI-mqosi57x-1","allow","allow (http 201) 1 row","true",""
"工地指令","2","62010003","加內容版本 SI-mqosi57x-1","allow","allow (http 201) 1 row","true",""
"工地指令","3","62010003","提交 SI-mqosi57x-1","allow","allow (http 204)","true",""
"工地指令","4","62010001","批核 SI-mqosi57x-1 (總承)","allow","allow (http 200)","true",""
"工地指令","5","62000001","批核 SI-mqosi57x-1 (PM)","allow","allow (http 200)","true",""
"工地指令","6","62020001","開單 SI-mqosi57x-2","allow","allow (http 201) 1 row","true",""
"工地指令","7","62020001","加內容版本 SI-mqosi57x-2","allow","allow (http 201) 1 row","true",""
"工地指令","8","62020001","提交 SI-mqosi57x-2","allow","allow (http 204)","true",""
"工地指令","9","62010001","批核 SI-mqosi57x-2 (總承)","allow","allow (http 200)","true",""
"工地指令","10","62000001","批核 SI-mqosi57x-2 (PM)","allow","allow (http 200)","true",""
"工地指令","11","62010002","開單 SI-mqosi57x-3","allow","allow (http 201) 1 row","true",""
"工地指令","12","62010002","加內容版本 SI-mqosi57x-3","allow","allow (http 201) 1 row","true",""
"工地指令","13","62010002","提交 SI-mqosi57x-3","allow","allow (http 204)","true",""
"工地指令","14","62010001","批核 SI-mqosi57x-3 (總承)","allow","allow (http 200)","true",""
"工地指令","15","62000001","批核 SI-mqosi57x-3 (PM)","allow","allow (http 200)","true",""
"工地指令","16","62030003","開單 SI-mqosi57x-4","allow","allow (http 201) 1 row","true",""
"工地指令","17","62030003","加內容版本 SI-mqosi57x-4","allow","allow (http 201) 1 row","true",""
"工地指令","18","62030003","提交 SI-mqosi57x-4","allow","allow (http 204)","true",""
"工地指令","19","62010001","批核 SI-mqosi57x-4 (總承)","allow","allow (http 200)","true",""
"工地指令","20","62000001","批核 SI-mqosi57x-4 (PM)","allow","allow (http 200)","true",""
"工地指令","21","62020003","開單 SI-mqosi57x-5","allow","allow (http 201) 1 row","true",""
"工地指令","22","62020003","加內容版本 SI-mqosi57x-5","allow","allow (http 201) 1 row","true",""
"工地指令","23","62020003","提交 SI-mqosi57x-5","allow","allow (http 204)","true",""
"工地指令","24","62010001","批核 SI-mqosi57x-5 (總承)","allow","allow (http 200)","true",""
"工地指令","25","62000001","批核 SI-mqosi57x-5 (PM)","allow","allow (http 200)","true",""
"工地指令","26","62040001","開單 SI-mqosi57x-6","allow","allow (http 201) 1 row","true",""
"工地指令","27","62040001","加內容版本 SI-mqosi57x-6","allow","allow (http 201) 1 row","true",""
"工地指令","28","62040001","提交 SI-mqosi57x-6","allow","allow (http 204)","true",""
"工地指令","29","62010001","批核 SI-mqosi57x-6 (總承)","allow","allow (http 200)","true",""
"工地指令","30","62000001","批核 SI-mqosi57x-6 (PM)","allow","allow (http 200)","true",""
"工地指令","31","62000003","越權開單","deny","deny (http 403) new row violates row-level security policy for table ""site_instructions""","true",""
"變更指令","1","62010003","開單 VO-mqosi57x-1","allow","allow (http 201) 1 row","true",""
"變更指令","2","62010003","加內容版本 VO-mqosi57x-1","allow","allow (http 201) 1 row","true",""
"變更指令","3","62010003","提交 VO-mqosi57x-1","allow","allow (http 204)","true",""
"變更指令","4","62010001","批核 VO-mqosi57x-1 (總承)","allow","allow (http 200)","true",""
"變更指令","5","62000001","批核 VO-mqosi57x-1 (PM)","allow","allow (http 200)","true",""
"變更指令","6","62000003","批核 VO-mqosi57x-1 (業主)","allow","allow (http 200)","true",""
"變更指令","7","62020001","開單 VO-mqosi57x-2","allow","allow (http 201) 1 row","true",""
"變更指令","8","62020001","加內容版本 VO-mqosi57x-2","allow","allow (http 201) 1 row","true",""
"變更指令","9","62020001","提交 VO-mqosi57x-2","allow","allow (http 204)","true",""
"變更指令","10","62010001","批核 VO-mqosi57x-2 (總承)","allow","allow (http 200)","true",""
"變更指令","11","62000001","批核 VO-mqosi57x-2 (PM)","allow","allow (http 200)","true",""
"變更指令","12","62000003","批核 VO-mqosi57x-2 (業主)","allow","allow (http 200)","true",""
"變更指令","13","62010002","開單 VO-mqosi57x-3","allow","allow (http 201) 1 row","true",""
"變更指令","14","62010002","加內容版本 VO-mqosi57x-3","allow","allow (http 201) 1 row","true",""
"變更指令","15","62010002","提交 VO-mqosi57x-3","allow","allow (http 204)","true",""
"變更指令","16","62010001","批核 VO-mqosi57x-3 (總承)","allow","allow (http 200)","true",""
"變更指令","17","62000001","批核 VO-mqosi57x-3 (PM)","allow","allow (http 200)","true",""
"變更指令","18","62000003","批核 VO-mqosi57x-3 (業主)","allow","allow (http 200)","true",""
"變更指令","19","62030003","開單 VO-mqosi57x-4","allow","allow (http 201) 1 row","true",""
"變更指令","20","62030003","加內容版本 VO-mqosi57x-4","allow","allow (http 201) 1 row","true",""
"變更指令","21","62030003","提交 VO-mqosi57x-4","allow","allow (http 204)","true",""
"變更指令","22","62010001","批核 VO-mqosi57x-4 (總承)","allow","allow (http 200)","true",""
"變更指令","23","62000001","批核 VO-mqosi57x-4 (PM)","allow","allow (http 200)","true",""
"變更指令","24","62000003","批核 VO-mqosi57x-4 (業主)","allow","allow (http 200)","true",""
